"Ateneo
(categoria)";"Nome corso
(h1 post type corsi.di.laurea)";"slug
del post ""tipo + classe + nome CORSO + ateneo""";"Area di Studio
(term di tax area studio)";"Tipo
(term tax tipologia)";"Classe
(term di tax classe)";"Nome Classe
(descrizione di term tax classe)";"Note
attributo del post corso di laurea";"Costo
attributo di post corsi di laurea";"Curricula
(termini multipli di tassonomia curricula)";"Durata
attributo tax tipologia";"CFU
attributo del post"
1. eCampus;Scienze pedagogiche curriculum pedagogia e scienze umane;;Psicologia;Laurea magistrale;LM-85;Scienze pedagogiche;;;Pedagogista della Marginalità e della Disabilità;2 Anni;120
8. Mercatorum;Ingegneria Gestionale;;Ingegneria;Laurea magistrale;LM-31;Ingegneria gestionale;;3.000,00 €;;2 Anni;120
8. Mercatorum;Psicologia del lavoro e delle organizzazioni;;Psicologia;Laurea magistrale;LM-51;Psicologia;;;;2 Anni;120
8. Mercatorum;Relazioni Internazionali per lo Sviluppo Economico;;Economia;Laurea magistrale;LM-52;Relazioni internazionali;;3.000,00 €;;2 Anni;120
8. Mercatorum;Economia – Management;;Economia;Laurea magistrale;LM-77;Scienze economico-aziendali;;;;2 Anni;120
8. Mercatorum;Management;;Economia;Laurea magistrale;LM-77;Scienze economico-aziendali;;3.000,00 €;;2 Anni;120
9. IUL;Metodi e tecniche delle interazioni educative;;Scienze dell'educazione o della formazione;Laurea triennale;L-19;Scienze dell'Educazione e della Formazione;;;;3 anni;180
9. IUL;Scienze e tecniche dell’educazione e dei servizi per l’infanzia;;Scienze della Formazione;Laurea triennale;L-19;Scienze dell'Educazione e della Formazione;;;;3 anni;180
9. IUL;Scienze motorie, pratica e gestione delle attività sportive;;Scienze motorie;Laurea triennale;L-22;Scienze delle Attività Motorie e Sportive;;;;3 anni;180
9. IUL;Scienze psicologiche delle risorse umane, delle organizzazioni e delle imprese;;Psicologia;Laurea triennale;L-24;Scienze e Tecniche Psicologiche;;;;3 anni;180
9. IUL;Innovazione educativa e apprendimento permanente nella formazione degli adulti in contesti nazionali e internazionali;;Scienze dell'educazione o della formazione;Laurea magistrale;LM-57;Scienze dell'educazione degli adulti e della formazione continua;;;;2 Anni;120
UniDav;Economia e Management dei servizi sanitari;;Economia;Laurea triennale;L-18;Scienze dell'economia e della gestione aziendale;;;;3 anni;180
UniDav;Formazione alle professioni educative;;Scienze umanistiche;Laurea triennale;L-19;Scienze dell'Educazione e della Formazione;;;;3 anni;180
UniDav;Scienze psicologiche;;Psicologia;Laurea triennale;L-24;Scienze e Tecniche Psicologiche;;;;3 anni;180
UniDav;Giurisprudenza;;Giurisprudenza;Laurea magistrale a ciclo unico;LMG-01;Giurisprudenza;;;;;
Unifortunato;Diritto ed Economia delle Imprese;;;Laurea triennale;L-14;Scienze dei servizi giuridici;Interclasse;;;3 anni;180
4. Unitelma;Giurisprudenza;;Giuridica;Laurea magistrale a ciclo unico;LMG-01;Giurisprudenza;;;"""Diritto della Società dell’informazione"",""Diritto Mercati Impresa"",""Diritto, Territori, Comunità e Welfare"",""Diritto, Organizzazioni e Relazioni Internazionali"",""Diritto e Istituzioni"",""Diritto e Security""";;
Unifortunato;Diritto ed Economia delle Imprese;;;Laurea triennale;L-18;Scienze dell'economia e della gestione aziendale;Interclasse;;;3 anni;180
Unifortunato;Scienza dell'Educazione;;;Laurea triennale;L-19;Scienze dell'Educazione e della Formazione;Educatore di nido e dei servizi per l’infanzia (0 – 3 anni) D.Lgs. 65/2017;;;3 anni;180
Unifortunato;Scienze e Tecniche Psicologiche;;;Laurea triennale;L-24;Scienze e Tecniche Psicologiche;;;;3 anni;180
Unifortunato;Scienze e Tecnologie dei Trasporti;;;Laurea triennale;L-28;Scienze e tecnologie della navigazione;;;;3 anni;180
Unifortunato;Psicologia Comportamentale e Cognitiva Applicata;;;Laurea magistrale;LM-51;Psicologia;;;;2 Anni;120
